Family Name,Space n = 1000 rate,Space n = 10^6 rate,Space n = 10^9 rate,Time n = 1000 rate,Time n = 10^6 rate,Time n = 10^9 rate,Time > Space n = 1000,Time > Space n = 10^6,Time > Space n = 10^9,Space > Time n = 1000,Space > Time n = 10^6,Space > Time n = 10^9,,,,,
All Maximal Non-Branching Paths in a Graph,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
All Permutations,1.1,1.1,1.1,0,0,0,0,0,0,1,1,1,,,% Faster Time n=1000,% Faster Time n=10^6,% Faster Time n=10^9
All-Pairs Shortest Paths (APSP),0,0,0,0.5487604585,1.1,1.1,1,1,1,0,0,0,,,38.14%,36.44%,36.44%
AST to Code Translation,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
BCNF Decomposition,0,0,0,0,0,0,0,0,0,0,0,0,,,% Faster Space n=1000,% Faster Space n=10^6,% Faster Space n=10^9
Cardinality Estimation,0,0,0,0,0,0,0,0,0,0,0,0,,,11.02%,8.47%,7.63%
CFG Problems,0,0,0,0.8438020169,1.1,1.1,1,1,1,0,0,0,,,,,
Change-Making Problem,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Clique Problems,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
Clock Synchronization in Distributed Systems,1.1,1.1,1.1,0,0,0,0,0,0,1,1,1,,,,,
Closest Pair Problem,0,0,0,0.4125375446,0.995262315,1.1,1,1,1,0,0,0,,,,,
Collaborative Filtering,0,0,0,0.995262315,1.1,1.1,1,1,1,0,0,0,,,,,
Constructing Eulerian Trails in a Graph,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Constructing Suffix Trees,0,0,0,0.2328467394,0.519911083,0.8738174229,1,1,1,0,0,0,,,,,
Convex Hull,0.1993539462,0.4384498883,0.7252105499,0.3393049339,0.8357368987,1.1,1,1,1,0,0,0,,,,,
Convex Optimization (Non-linear),0,0,0,0.2857989153,0.7311815551,1.1,1,1,1,0,0,0,,,,,
Coset Enumeration,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cryptanalysis of Linear Feedback Shift Registers,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cycle Detection,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cyclic Peptide Sequencing Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
d-Neighborhood of a String,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Data Compression,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
De Novo Genome Assembly,0,0,0,0.1545289608,0.2056502551,0.2365937469,1,1,1,0,0,0,,,,,
Deadlock avoidance,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Delaunay Triangulation,0,0,0,0.1289073397,0.2913027223,0.4800115814,1,1,1,0,0,0,,,,,
Dependency Inference Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Determinant of Matrices with Integer Entries,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
DFA Minimization,0,0,0,0.5265273215,0.8628572574,1.1,1,1,1,0,0,0,,,,,
Discrete Fourier Transform,0,0,0,0.2024330587,0.5417655625,0.9997453266,1,1,1,0,0,0,,,,,
Disk Scheduling,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Distributed Locking Algorithms,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Duplicate Elimination,0.458746477,0.737656504,0.9894321558,0,0,0,0,0,0,1,1,1,,,,,
Eigenvalues (Iterative Methods),0,0,0,0.1147947127,0.2645600775,0.4391060808,1,1,1,0,0,0,,,,,
Entity Resolution,0,0,0,0.6682747866,1.1,1.1,1,1,1,0,0,0,,,,,
Factorization of Polynomials Over Finite Fields,0,0,0,0.1481536215,0.3182567386,0.5135612484,1,1,1,0,0,0,,,,,
Filtering Problem (Stochastic Processes),0.2115276586,0.4677992676,0.77827941,0.1993539462,0.4384498883,0.7252105499,0,0,0,1,1,1,,,,,
Finding Frequent Itemsets,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Frequent Words with Mismatches Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Generating Random Permutations,0.3335214322,0.77827941,1.1,0,0,0,0,0,0,1,1,1,,,,,
Graph Coloring,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Graph Edit Distance Computation,0.4978496225,1.1,1.1,1.1,1.1,1.1,1,0,0,0,0,0,,,,,
Graph Isomorphism Problem,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Graph Realization Problems,1.1,1.1,1.1,0,0,0,0,0,0,1,1,1,,,,,
Greatest Common Divisor,0,0,0,0.05301736662,0.1523784375,0.2692449252,1,1,1,0,0,0,,,,,
Gröbner Bases,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Hyperbolic Spline Interpolation,0,0,0,0.2322924647,0.5245756383,0.9197955097,1,1,1,0,0,0,,,,,
Informed Search,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Integer Factoring,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Integer Relation,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Interval Scheduling,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Joins,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Key Exchange,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
kth Order Statistic,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Line Clipping,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Line Drawing,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Line segment intersection,0,0,0,0.1245364271,0.3198161773,0.5593088428,1,1,1,0,0,0,,,,,
Linear Programming,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
Linear System,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Link Analysis,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Logarithm Calculations,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Longest Common Subsequence,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
Longest Palindromic Substring,0,0,0,0.5926180344,1.1,1.1,1,1,1,0,0,0,,,,,
Longest Path Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lowest Common Ancestor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
LU Decomposition,0,0,0,0.135164559,0.2885985759,0.4627714341,1,1,1,0,0,0,,,,,
Matrix Chain Multiplication,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Matrix Product,0,0,0,0.06875991349,0.1425453946,0.2218465331,1,1,1,0,0,0,,,,,
Maximum Cardinality Matching,0,0,0,0.077712643,0.1954568754,0.3312041939,1,1,1,0,0,0,,,,,
Maximum Flow,1.1,1.1,1.1,0.2992290588,0.9044223638,1.1,0,0,0,1,1,0,,,,,
Maximum Likelihood Methods in Unknown Latent Variables,0.1993539462,0.4384498883,0.7252105499,0.03539948316,0.2663541894,0.5996333176,0,0,0,1,1,1,,,,,
Maximum Likelihood Parameters,0,0,0,0.06167931846,0.1509194139,0.2523307814,1,1,1,0,0,0,,,,,
Maximum Subarray Problem,0,0,0,0.3162515769,0.7652685748,1.1,1,1,1,0,0,0,,,,,
Maximum-Weight Matching,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Median String Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Minimum Spanning Tree (MST),0,0,0,0.03493046044,0.04902000652,0.05749824776,1,1,1,0,0,0,,,,,
Minimum value in each row of an implicitly-defined totally monotone matrix,0,0,0,0.1246567656,0.3027161207,0.5089664179,1,1,1,0,0,0,,,,,
Motif Search,1.1,1.1,1.1,0.761569993,1.1,1.1,0,0,0,1,0,0,,,,,
Multiplication,0,0,0,0.1136612352,0.3133698001,0.6826239928,1,1,1,0,0,0,,,,,
Mutual Exclusion,0,0,0,0.3513440966,0.9203505079,1.1,1,1,1,0,0,0,,,,,
n-Queens Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nash Equilibria,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nearest Neighbor Search,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
NFA to DFA conversion,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Optimal Binary Search Trees,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Optimal Policies for MDPs,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Page Replacements,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Point-in-Polygon,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Poisson Problem,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
Polygon Clipping,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Polynomial Interpolation,0.2589254118,0.5848931925,0.995262315,0.2589254118,0.5848931925,0.995262315,0,0,0,0,0,0,,,,,
Recovery,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Register Allocation,1.1,1.1,1.1,0.4677992676,1.1,1.1,0,0,0,1,0,0,,,,,
Rod-Cutting Problem,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
SDD Systems Solvers,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Secret Sharing,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Self-Balancing Trees Creation,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Self-Balancing Trees Deletion,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Self-Balancing Trees Insertion,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Self-Balancing Trees Search,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sequence Alignment,1.1,1.1,1.1,0.2451796774,0.3418953868,0.3998638745,0,0,0,1,1,1,,,,,
Sequence-to-Graph Alignment,1.1,1.1,1.1,0.5949767558,1.1,1.1,0,0,0,1,0,0,,,,,
Shortest Path (Directed Graphs),0.2599210499,0.2599210499,0.2599210499,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Solutions to Nonlinear Equations,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sorting,0,0,0,1.1,1.1,1.1,1,1,1,0,0,0,,,,,
Stable Matching Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
String Search,0,0,0,0.05665744313,0.156481465,0.2650274945,1,1,1,0,0,0,,,,,
Strongly Connected Components,1.1,1.1,1.1,1.1,1.1,1.1,0,0,0,0,0,0,,,,,
The Frequent Words Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
The Set-Covering Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
The Subset-Sum Problem,0.5399265261,1.1,1.1,1.1,1.1,1.1,1,0,0,0,0,0,,,,,
The Traveling-Salesman Problem,1.1,1.1,1.1,0,0,0,0,0,0,1,1,1,,,,,
The Vertex Cover Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Topological Sorting,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tower of Hanoi,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Transitive Reduction Problem,0,0,0,0.06875991349,0.1425453946,0.2218465331,1,1,1,0,0,0,,,,,
Turnpike Problem,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Variance Calculations,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Voronoi Diagrams,0,0,0,0,0,0,0,0,0,0,0,0,,,,,